timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency
1473176439987,393,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Standard User Load 1-1,true,,5342,1,1,null,0
1473176440647,185,GET /authorization/action/isauthorized,200,OK,Standard User Load 1-1,true,,152,1,1,http://localhost:8080/pentaho/api/authorization/action/isauthorized,185
1473176440832,226,PUT DirectoryResource,200,OK,Standard User Load 1-1,true,,102,1,1,http://localhost:8080/pentaho/api/repo/dirs/:public:jmeter-test-044039,226
1473176441058,65,GET /repo/files/{pathId}/properties,200,OK,Standard User Load 1-1,true,,697,1,1,http://localhost:8080/pentaho/api/repo/files/:public:jmeter-test-044039/properties,65
1473176441317,42,PUT /repo/files/deletepermanent,200,OK,Standard User Load 1-1,true,,102,1,1,http://localhost:8080/pentaho/api/repo/files/delete,42
1473176441360,18,GET /repo/files/canAdminister,200,OK,Standard User Load 1-1,true,,141,1,1,http://localhost:8080/pentaho/api/repo/files/canAdminister,18
1473176441379,23,GET /repo/files/canCreate,200,OK,Standard User Load 1-1,true,,141,1,1,http://localhost:8080/pentaho/api/repo/files/canCreate,23
1473176441403,79,GET /repo/files/children,200,OK,Standard User Load 1-1,true,,2359,1,1,http://localhost:8080/pentaho/api/repo/files/children?showHidden=false&filter=*|FILES&_=1389042244670,79
1473176441487,61,PUT /repo/files/{pathId}/createDir,200,OK,Standard User Load 1-1,true,,102,1,1,http://localhost:8080/pentaho/api/repo/files/:public:jmeter-test-044039/createDir,61
1473176441548,22,GET /repo/files/{pathId}/properties,200,OK,Standard User Load 1-1,true,,697,1,1,http://localhost:8080/pentaho/api/repo/files/:public:jmeter-test-044039/properties,22
1473176441573,21,GET /repo/files/:/children,200,OK,Standard User Load 1-1,true,,2359,1,1,http://localhost:8080/pentaho/api/repo/files/:/children,21
1473176441595,17,PUT /repo/files/delete,200,OK,Standard User Load 1-1,true,,102,1,1,http://localhost:8080/pentaho/api/repo/files/delete,17
