timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency
1473176866779,65,731 /pentaho/plugin/cda/api/doQueryWrongPassword,401,Unauthorized,Smoke Tests 1-1,true,,1410,1,1,http://localhost:8080/pentaho/plugin/cda/api/doQuery?path=%2Fpublic%2Fpublic%2Fplugin-samples%2Fcda%2Fcdafiles%2FcompoundJoin.cda&dataAccessId=2,65
1473176866859,129,/pentaho/j_spring_security_check,200,OK,Smoke Tests 1-1,true,,8599,1,1,http://localhost:8080/pentaho/Login?login_error=1,123
1473176866991,5,cda\compoundJoin\DoQuery_invalidDataAccessId,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176866998,5,cda\compoundJoin\DoQuery_invalidOutputIndexIdValue,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867004,6,cda\compoundJoin\DoQuery_invalidOutputIndexIdCharacter,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867011,4,cda\compoundJoin\DoQuery_InvalidoutputType,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867016,4,cda\compoundJoin\DoQuery_invalidDate,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867025,4,cda\compoundJoin\DoQuery_invalidStatus,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867033,4,cda\compoundJoin\ListParameters_invalidDataAccessId,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867037,22,cda\compoundJoin\DoQuery_valid,401,"Number of samples in transaction : 4, number of failing samples : 4",Smoke Tests 1-1,false,,5308,1,1,null,0
1473176867063,11,cda\compoundJoin\UnwrapQuery_valid,401,"Number of samples in transaction : 3, number of failing samples : 2",Smoke Tests 1-1,false,,5389,1,1,null,0
1473176867075,3,cda\compoundJoin\ListParameters,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867078,3,cda\compoundUnion\DoQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867082,2,cda\compoundUnion\ListParameters,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867085,3,cda\compoundUnion\ListQueries,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867089,4,cda\compoundUnion\PreviewQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867093,7,cda\compoundUnion\UnwrapQuery_valid,401,"Number of samples in transaction : 3, number of failing samples : 2",Smoke Tests 1-1,false,,5389,1,1,null,0
1473176867101,2,cda\DenormalizedMondrianJdbc\ListParameters,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867104,3,cda\DenormalizedMondrianJdbc\DoQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867108,8,cda\DenormalizedMondrianJdbc\UnwrapQuery_valid,401,"Number of samples in transaction : 3, number of failing samples : 2",Smoke Tests 1-1,false,,5403,1,1,null,0
1473176867116,3,cda\DenormalizedMondrianJndi\ListQueries,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867119,3,cda\DenormalizedMondrianJndi\DoQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867123,4,cda\DenormalizedMondrianJndi\ListParameters,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867128,2,cda\DenormalizedMondrianJndi\listDataAccessTypes,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867130,6,cda\DenormalizedMondrianJndi\UnwrapQuery_valid,401,"Number of samples in transaction : 3, number of failing samples : 2",Smoke Tests 1-1,false,,5403,1,1,null,0
1473176867137,3,cda\Json Scripting\PreviewQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867140,4,cda\Json Scripting\ListQueries,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867144,4,cda\Json Scripting\DoQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867149,2,cda\Json Scripting\ListParameters,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867152,8,cda\Json Scripting\UnwrapQuery_valid,401,"Number of samples in transaction : 3, number of failing samples : 2",Smoke Tests 1-1,false,,5391,1,1,null,0
1473176867160,3,cda\kettle\ListQueries,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867164,3,cda\kettle\DoQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867167,3,cda\kettle\ListParameters,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867171,6,cda\kettle\UnwrapQuery_valid,401,"Number of samples in transaction : 3, number of failing samples : 2",Smoke Tests 1-1,false,,5383,1,1,null,0
1473176867178,2,cda\MondrianJdbc\PreviewQuery,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
1473176867181,3,cda\MondrianJdbc\ListQueries,401,"Number of samples in transaction : 1, number of failing samples : 1",Smoke Tests 1-1,false,,1327,1,1,null,0
